"Jahr";"Absterberate_Buche [%]";"Absterberate_Eiche [%]";"Absterberate_Fichte [%]";"Absterberate_Kiefer [%]"
1990;"0,00";"0,46";"0,03";"0,07"
1991;"0,15";"0,38";"0,06";"0,21"
1992;"0,00";"0,00";"0,00";"0,00"
1993;"0,69";"0,14";"0,80";"0,51"
1994;"0,05";"0,51";"0,03";"0,26"
1995;"0,00";"0,14";"0,28";"0,16"
1996;"0,00";"0,00";"0,03";"0,24"
1997;"0,00";"0,69";"0,05";"0,34"
1998;"0,10";"0,18";"0,11";"0,29"
1999;"0,00";"0,18";"0,04";"0,21"
2000;"0,21";"0,34";"0,18";"0,04"
2001;"0,11";"0,31";"0,11";"0,19"
2002;"0,06";"0,48";"0,09";"0,16"
2003;"0,00";"0,17";"0,10";"0,14"
2004;"0,00";"0,17";"0,21";"0,26"
2005;"0,11";"0,16";"0,11";"0,31"
2006;"0,04";"0,32";"0,09";"0,15"
2007;"0,00";"0,28";"0,25";"0,20"
2008;"0,00";"0,42";"0,09";"0,17"
2009;"0,06";"0,00";"0,12";"0,09"
2010;"0,00";"0,11";"0,15";"0,25"
2011;"0,06";"0,25";"0,04";"0,10"
2012;"0,10";"0,52";"0,23";"0,14"
2013;"0,11";"0,41";"0,15";"0,22"
2014;"0,00";"0,28";"0,22";"0,15"
2015;"0,06";"0,54";"0,18";"0,00"
2016;"0,00";"0,13";"0,26";"0,14"
2017;"0,05";"0,13";"0,15";"0,22"
2018;"0,11";"0,00";"0,15";"0,07"
2019;"0,33";"0,27";"0,73";"0,34"
2020;"0,30";"0,41";"4,28";"0,97"
2021;"0,41";"0,64";"2,63";"0,70"
2022;"0,16";"0,35";"4,35";"0,62"
2023;"0,31";"0,24";"1,16";"0,97"
